text,label,category,score,description
"정말 무능한 사람들이네요. 이런 식으로 일하는 회사는 처음 봅니다. 쓰레기 같은 서비스. 인간 말종들 같으니. 당신들 정말 일 못하는군요. 한심하기 짝이 없어요.",1,abusive,0.85,모욕적 표현 (욕설 없음)
"야 이번주 안에 해결 안 되면 가만 안 둔다. 진짜 너희 회사 찾아갈 거야. 사장 나오라고 해. 죽이고 싶네 진짜. 각오하고 있어. 법적 조치는 기본이고.",1,abusive,0.90,직접적 위협
"어머 상담사님 목소리 되게 좋으시네요. 얼굴도 예쁘시겠어요. 남자친구 있으세요? 나이는 어떻게 되세요? 몸매도 좋으시겠어요. 혹시 퇴근하고 시간 되시면 한잔 어때요?",1,abusive,0.95,직접적 성희롱
"와 진짜 목소리 엄청 좋으시네요. 저 요즘 외로워서 말이죠. 혹시 저녁 시간 되시나요? 같이 식사라도 하면 안 될까요? 개인 연락처 좀 알 수 있을까요?",1,abusive,0.75,우회적 성희롱
"와 정말 대단하시네요. 진짜 훌륭하십니다. 이렇게 일 잘하시는 분은 처음 봅니다. 정말 최고의 서비스네요. 감동받았어요. 이런 식으로 고객 응대하시면 회사 정말 잘 되겠어요. 계속 이렇게 하세요.",1,abusive,0.70,비꼬는 모욕
"당신네 회사 정말 이상하네요. 이런 식으로 운영되는 게 신기해요. 좀 정신 차리세요. 한심하네요. 이래가지고 장사가 되나요?",1,abusive,0.60,경미한 모욕
"너 지금 장난하냐? 진짜 죽을래? 때려 죽이고 싶네. 주소 알아냈다. 찾아갈 거야. 각오하고 있어. 두고 보자.",1,abusive,0.95,명시적 위협
"네, 그렇군요. 아무래도 상관없어요. 어차피 기대 안 했어요. 늘 이러시니까. 다른 회사는 이렇게 안 하던데. 신기하네요. 뭐 괜찮습니다. 익숙해요.",1,abusive,0.65,수동공격적
"이게 도대체 무슨 서비스입니까? 일주일이 넘도록 배송이 안 되는데 연락도 없고. 정말 답답하네요. 너무 실망스럽습니다. 이렇게 일하시면 안 되죠. 빠른 처리 부탁드립니다.",0,normal,0.40,강한 불만 (경계선)
"정말 화가 나네요. 이건 아니잖아요. 도대체 왜 이렇게 오래 걸리는 건가요? 이해가 안 됩니다. 정말 짜증나네요. 좀 더 신경 써주시면 안 될까요?",0,normal,0.45,화난 표현 (경계선)
"아 진짜 답답해 미치겠네요. 말이 안 통하네. 이게 말이 돼요? 좀 제대로 확인 좀 해보세요. 너무 답답합니다. 빡치네요.",0,normal,0.50,답답한 표현 (경계선)
"이 건으로 소송 진행하겠습니다. 변호사 선임했고 소비자원에도 신고했어요. 손해배상 청구할 겁니다. 금융감독원에도 민원 넣을 예정입니다. 각오하세요.",0,normal,0.55,법적 조치 언급 (경계선)
"아 진짜 미치겠네. 돌아버리겠어요. 이게 대체 뭡니까. 말도 안 돼요. 너무 열받아서 참을 수가 없네요. 정말 화나요. 어떻게 이럴 수가 있어요?",0,normal,0.50,감정적 폭발 (경계선)
"안녕하세요. 배송 문의 드리려고 전화했습니다. 지난 주에 주문한 상품이 아직 도착하지 않아서요. 예상 배송일이 언제쯤 될까요? 빠른 확인 부탁드립니다. 감사합니다.",0,normal,0.10,정상 서비스 문의
"죄송하지만 좀 개선이 필요할 것 같습니다. 고객 입장에서는 불편한 부분이 있어서요. 다음에는 좀 더 신속하게 처리해 주시면 감사하겠습니다. 전반적으로는 만족스럽지만 이 부분만 개선되면 좋겠습니다.",0,normal,0.20,정중한 불만
"급하게 처리 부탁드립니다. 내일까지 꼭 필요한 건이에요. 가능하신지 확인 좀 해주세요. 최대한 빨리 부탁드립니다. 감사합니다.",0,normal,0.10,긴급 요청
"친절하게 응대해 주셔서 감사합니다. 덕분에 문제가 잘 해결됐어요. 다음에도 좋은 서비스 부탁드립니다. 정말 감사합니다. 수고하세요.",0,normal,0.00,감사 표현
"아니 씨발 이게 뭐야. 한 달이 넘었는데 아직도 배송이 안 됐다고? 진짜 개같은 회사네. 병신들아. 제대로 일 좀 해라. 씨발놈들.",1,abusive,0.95,명시적 욕설
"야 씨발 이게 뭐냐고. 당장 처리 안 하면 너희 회사 박살낼 거야. 개새끼들 진짜. 가만 안 둔다. 사장 나와. 죽여버릴 거야.",1,abusive,0.98,욕설+위협 복합
"씨발 이 예쁜 것아. 목소리 좋은데 한번 만나볼래? 섹시한데. 몸매 좋겠다. 같이 놀자. 연락처 줘봐.",1,abusive,0.98,욕설+성희롱 복합
